"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 07 10:33:10 EET 2024","Thu Mar 07 10:33:11 EET 2024","298","","","","","An uncaught error was detected outside of a test","An uncaught error was detected outside of a test",""
"failed","Wed Mar 06 17:54:34 EET 2024","Wed Mar 06 17:56:10 EET 2024","96367","","","","","Add new CFC And BBR Request and getting declined quote","Add new CFC And BBR Request and getting declined quote",""
